CAR_SELL_NO,ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE
1523,e523349801,10,742370,2024. 9. 21
1524,y004953322,4,133472,2023. 6. 23
1525,k833481727,2,128712,2025. 3. 3
1526,r431377184,2,165640,2023. 4. 4
1527,f186860712,8,412016,2024. 4. 26
1528,o360654268,9,233613,2024. 12. 31
1529,z026627376,7,657629,2025. 5. 29
1530,r007620803,5,406355,2025. 12. 10
1531,d796127156,2,111976,2024. 8. 5
1532,w771438651,10,183110,2023. 12. 12
1533,q231649573,3,114216,2022. 7. 13
1534,e378186020,10,357740,2025. 5. 29
1535,t527545849,5,33645,2022. 2. 22
1536,g463210884,8,380576,2022. 1. 15
1537,b652318387,2,109048,2024. 2. 17
1538,f159293568,6,227304,2024. 1. 25
1539,u143817434,1,29125,2023. 5. 15
1540,r007620803,2,162542,2022. 12. 23
1541,w399320435,8,308296,2022. 5. 1
1542,x103246458,5,444380,2023. 6. 2
1543,s648134287,8,296448,2024. 6. 19
1544,d967958327,2,67232,2024. 7. 23
1545,m166376048,5,95315,2022. 4. 13
1546,k586130396,3,218946,2024. 3. 13
1547,e454284730,1,67084,2024. 9. 30
1548,a016807608,5,233350,2022. 9. 24
1549,r944272113,8,449360,2024. 8. 4
1550,r121630077,8,371992,2022. 10. 18
1551,s202387396,6,325986,2023. 4. 17
1552,i614225745,1,31006,2023. 5. 16
1553,x881292722,2,123958,2025. 5. 31
1554,d583968890,10,984930,2025. 2. 11
1555,i201480733,10,55410,2024. 2. 26
1556,r752010006,9,655596,2025. 8. 29
1557,r565789698,3,148806,2025. 3. 17
1558,b331859810,3,39036,2022. 11. 8
1559,w447308141,2,115008,2024. 9. 24
1560,q590187942,4,93100,2025. 12. 27
1561,n298558509,10,878090,2022. 3. 3
1562,y985894847,6,447240,2024. 3. 29
1563,e906289036,6,354612,2023. 12. 19
1564,o163164556,7,182581,2024. 5. 27
1565,a273422259,4,102936,2024. 1. 10
1566,e083033537,10,127860,2024. 2. 11
1567,i614225745,9,279054,2022. 5. 6
1568,i414199211,9,660735,2022. 6. 20
1569,e454284730,7,469588,2022. 2. 15
1570,t714544962,7,555492,2025. 2. 11
1571,f681160357,1,78625,2022. 9. 21
1572,k748242632,10,366680,2022. 8. 18
1573,k613200397,2,122140,2022. 3. 28
1574,l230792099,2,77650,2022. 3. 28
1575,g361867943,9,566343,2025. 11. 23
1576,e882322694,4,191760,2023. 6. 23
1577,y147941927,6,492540,2024. 12. 15
1578,w212851163,2,16382,2022. 9. 30
1579,u767405603,3,184020,2023. 2. 28
1580,k620548230,10,921920,2023. 6. 26
1581,k913206538,5,433465,2024. 10. 24
1582,m685618551,2,136108,2024. 5. 1
1583,z408899478,3,174951,2024. 8. 5
1584,r686778905,10,620670,2023. 5. 7
1585,q169469617,1,1810,2022. 7. 5
1586,o795588968,8,24456,2023. 11. 1
1587,w650977113,8,616624,2022. 12. 6
1588,s436817915,6,394794,2022. 6. 10
1589,l541791141,10,36720,2024. 7. 20
1590,h214395165,7,505323,2024. 12. 9
1591,q474435846,8,431720,2022. 10. 10
1592,z647765133,1,91103,2024. 1. 22
1593,f012132125,8,563656,2024. 7. 27
1594,z897981508,6,536820,2024. 10. 18
1595,n535495651,6,171270,2025. 8. 27
1596,r602531234,1,84671,2025. 5. 16
1597,p251938189,5,52250,2024. 1. 1
1598,m592112116,9,205551,2022. 12. 1
1599,b000338915,7,533722,2024. 7. 26
1600,c780756921,1,22601,2024. 12. 1
1601,l597752023,4,270696,2022. 12. 20
1602,z453737001,3,262707,2024. 6. 14
1603,p866186767,5,107410,2025. 2. 10
1604,c780756921,9,203409,2024. 2. 4
1605,b086714383,4,85732,2022. 4. 17
1606,a611529813,7,457562,2023. 4. 6
1607,b452281180,9,241146,2025. 10. 14
1608,h053652858,5,284520,2024. 5. 21
1609,f210791264,9,552393,2022. 6. 13
1610,s731896747,8,612472,2025. 4. 3
1611,r720773561,7,236068,2024. 2. 19
1612,o401477677,10,737760,2024. 7. 27
1613,u488295752,9,20196,2023. 10. 9
1614,v233760093,7,622559,2024. 3. 22
1615,r986299075,1,65095,2023. 6. 15
1616,a972408263,5,348340,2024. 5. 31
1617,h821931862,5,226610,2023. 6. 5
1618,w211478643,5,353465,2023. 10. 9
1619,d251437127,7,683963,2022. 4. 8
1620,n840284375,9,805707,2025. 11. 15
1621,h300338334,5,242615,2022. 7. 7
1622,j742575848,5,219370,2024. 2. 14
1623,v154306870,9,809235,2025. 10. 13
1624,d194514077,1,94476,2025. 8. 13
1625,i414199211,1,73415,2025. 8. 23
1626,w937113146,10,502100,2022. 7. 19
1627,b769421007,10,376140,2025. 4. 18
1628,m833986693,9,730656,2024. 7. 25
1629,z026627376,3,281841,2025. 8. 25
1630,u488295752,3,6732,2023. 6. 30
1631,v411389212,3,190875,2023. 4. 19
1632,d287841834,10,483130,2024. 8. 1
1633,p924421263,7,329091,2025. 12. 26
1634,a818248949,6,363798,2022. 2. 1
1635,u859799671,3,103074,2025. 10. 7
1636,m358886552,7,628936,2024. 6. 6
1637,z045885933,4,241124,2022. 4. 7
1638,j130642177,9,104265,2024. 12. 3
1639,e526146204,8,749856,2023. 3. 13
1640,l097642272,8,143976,2024. 1. 12
1641,k325324892,7,364665,2025. 3. 19
1642,x103246458,7,622132,2025. 8. 19
1643,p089570760,1,29732,2023. 7. 10
1644,j755823036,4,141680,2025. 8. 13
1645,n840284375,8,716184,2022. 6. 25
1646,y715838497,3,254760,2025. 10. 19
1647,z005898421,9,34470,2024. 1. 25
1648,k894534439,1,48688,2023. 5. 14
1649,u424995237,4,114808,2022. 12. 27
1650,f720624315,1,79403,2023. 2. 28
1651,k236468841,5,242510,2023. 7. 24
1652,c523840355,1,33026,2022. 1. 4
1653,n801617826,6,152148,2025. 12. 19
1654,m685618551,6,408324,2022. 12. 1
1655,i750782508,4,204644,2023. 2. 9
1656,a873116347,8,501736,2022. 3. 10
1657,l008731752,7,637399,2024. 9. 3
1658,t897689129,5,250625,2025. 4. 4
1659,o399521408,9,123939,2022. 6. 13
1660,d251437127,6,586254,2022. 5. 19
1661,k751579205,8,19728,2025. 1. 8
1662,x525162938,8,538184,2022. 7. 21
1663,m818930663,9,229311,2023. 12. 10
1664,s997427882,3,93525,2025. 11. 18
1665,d644748914,9,774522,2023. 1. 31
1666,p015164035,4,376976,2025. 6. 21
1667,b102934138,9,168021,2023. 2. 26
1668,i877357376,2,63694,2024. 4. 19
1669,m841136003,2,126950,2023. 11. 4
1670,h556691447,4,142152,2023. 9. 28
1671,m428392403,3,197484,2022. 7. 30
1672,d796127156,3,167964,2025. 10. 7
1673,l597752023,5,338370,2022. 11. 29
1674,q717924175,2,137858,2025. 5. 5
1675,x531413762,6,203346,2023. 3. 15
1676,a650408019,7,685503,2025. 6. 12
1677,v869902168,7,35112,2022. 6. 12
1678,p140390536,7,406350,2022. 11. 10
1679,x156213959,7,165389,2022. 2. 14
1680,b074279020,8,435000,2023. 3. 26
1681,z742881200,10,56420,2023. 3. 20
1682,b061741830,7,304682,2024. 7. 5
1683,y921387660,5,256930,2025. 3. 17
1684,f405113731,10,670490,2022. 7. 30
1685,c098325091,3,211128,2023. 1. 30
1686,d287841834,5,241565,2024. 7. 6
1687,k325324892,5,260475,2023. 9. 6
1688,a445111665,6,291144,2025. 8. 1
1689,u078405679,3,52053,2024. 10. 13
1690,z380800941,7,651833,2023. 7. 30
1691,z045885933,8,482248,2025. 3. 11
1692,e523196259,7,639562,2022. 7. 18
1693,e083033537,9,115074,2023. 8. 6
1694,v233760093,6,533622,2023. 7. 17
1695,h653421156,7,71862,2025. 8. 16
1696,w095922649,3,245037,2024. 2. 19
1697,d165297159,10,900290,2023. 3. 24
1698,z690167719,1,9131,2022. 10. 9
1699,b769421007,9,338526,2025. 3. 31
1700,u078405679,10,173510,2025. 6. 16
1701,f720624315,4,317612,2022. 9. 29
1702,m393770893,2,178144,2024. 10. 7
1703,w187479235,5,116510,2023. 1. 15
1704,s484208382,1,53419,2024. 7. 5
1705,f882879482,5,90195,2022. 8. 29
1706,u767405603,7,429380,2023. 3. 7
1707,z476082508,6,218922,2024. 3. 11
1708,o774737045,5,340205,2023. 12. 9
1709,t467465852,6,107874,2025. 5. 13
1710,n395232469,8,437864,2022. 5. 6
1711,o979977060,10,24190,2023. 6. 3
1712,a963379821,7,529221,2023. 12. 28
1713,m226583678,8,285304,2022. 2. 10
1714,i946874061,8,305048,2024. 7. 16
1715,t068061728,10,721360,2022. 7. 10
1716,i099957648,3,291861,2024. 3. 10
1717,i930016471,2,153582,2023. 7. 23
1718,b587275613,1,17066,2025. 11. 16
1719,i357238080,8,173048,2023. 9. 26
1720,z408899478,3,174951,2023. 4. 14
1721,w937113146,1,50210,2022. 10. 19
1722,f473338203,3,152583,2023. 8. 31
1723,f077591748,4,368804,2025. 12. 25
1724,c444805809,1,33652,2024. 9. 22
1725,x589518264,2,185796,2022. 10. 1
1726,p462425214,4,358408,2024. 11. 4
1727,m658717107,6,147126,2025. 3. 10
1728,c076445404,6,116406,2025. 6. 4
1729,m450552697,5,234265,2025. 11. 3
1730,w695662045,8,452760,2022. 9. 5
1731,b086714383,7,150031,2022. 7. 9
1732,t000377388,6,15234,2025. 6. 23
1733,s508760792,1,38593,2024. 7. 8
1734,a541306673,4,260372,2022. 9. 12
1735,p290497314,1,87050,2023. 2. 10
1736,s997427882,8,249400,2025. 3. 26
1737,s484208382,2,106838,2025. 5. 15
1738,s717219172,1,34544,2025. 4. 25
1739,g524980835,7,411145,2024. 5. 20
1740,c884079568,5,110175,2022. 5. 20
1741,b422280086,9,412245,2022. 7. 1
1742,b278394864,3,281967,2025. 6. 29
1743,j193229486,6,563874,2024. 12. 31
1744,n780276857,10,551390,2024. 11. 3
1745,o687190908,4,327132,2025. 12. 2
1746,f210791264,4,245508,2024. 1. 10
1747,i072595417,3,122958,2023. 12. 7
1748,r170387025,9,406404,2025. 10. 7
1749,k428443552,3,54660,2023. 8. 27
1750,r507789007,10,416180,2022. 3. 4
1751,j564617613,5,139845,2024. 8. 26
1752,a759758544,5,81320,2023. 7. 22
1753,q414327520,5,271995,2025. 9. 21
1754,h976723591,9,25119,2023. 3. 2
1755,z350343649,3,17937,2023. 8. 15
1756,b550573314,1,77788,2024. 7. 9
1757,o752818250,3,237540,2022. 8. 21
1758,f193244122,5,91550,2023. 8. 3
1759,r054709416,5,401335,2023. 9. 14
1760,v411389212,5,318125,2022. 10. 24
1761,k613200397,5,305350,2024. 10. 8
1762,z380800941,3,279357,2022. 12. 7
1763,c360485734,10,190710,2023. 11. 29
1764,z476082508,5,182435,2022. 12. 20
1765,p060227933,5,208570,2023. 1. 1
1766,w830452571,9,623646,2025. 9. 23
1767,g071239732,7,59717,2024. 8. 12
1768,q841194319,1,89927,2022. 10. 12
1769,l135827681,10,205040,2025. 3. 2
1770,v036393304,1,56317,2025. 6. 6
1771,z408899478,8,466536,2024. 11. 28
1772,d165297159,3,270087,2024. 11. 24
1773,j755823036,3,106260,2023. 6. 18
1774,u225718693,3,103557,2024. 10. 2
1775,b452281180,1,26794,2024. 8. 1
1776,r170387025,4,180624,2025. 5. 1
1777,h976723591,6,16746,2023. 10. 2
1778,z712394940,4,395876,2023. 1. 26
1779,p185790646,7,191940,2022. 10. 19
1780,p445543860,5,265995,2022. 8. 6
1781,r752010006,5,364220,2023. 1. 6
1782,s202387396,8,434648,2024. 12. 13
1783,p089570760,9,267588,2022. 3. 3
1784,v246312987,7,325521,2023. 4. 9
1785,c589311199,1,95198,2023. 9. 5
1786,z350343649,6,35874,2025. 11. 9
1787,b274552561,10,648330,2022. 10. 30
1788,x660478765,5,70810,2024. 5. 4
1789,o784308773,8,488096,2024. 7. 12
1790,h323511737,9,269487,2025. 12. 14
1791,g524980835,3,176205,2023. 3. 6
1792,j676970000,10,439390,2025. 6. 16
1793,d583968890,9,886437,2025. 10. 18
1794,s345479794,9,421803,2025. 7. 18
1795,h490995803,2,144682,2023. 10. 25
1796,o471607495,9,385848,2023. 7. 20
1797,s654707232,3,244977,2024. 2. 22
1798,r143806315,2,83780,2023. 8. 30
1799,e752450118,10,391060,2022. 2. 4
1800,c113845248,8,386424,2022. 2. 25
1801,x263895074,8,526448,2025. 1. 29
1802,g672789448,6,220368,2023. 5. 22
1803,a013563028,3,285510,2022. 8. 8
1804,a086853493,2,123504,2025. 2. 1
1805,u968071075,9,544734,2023. 2. 10
1806,i614225745,2,62012,2022. 5. 14
1807,t897689129,10,501250,2025. 1. 28
1808,u488295752,6,13464,2025. 6. 21
1809,w811392243,7,471982,2024. 10. 14
1810,d660474406,1,27688,2023. 2. 15
1811,x881292722,5,309895,2024. 4. 24
1812,m040735061,8,460416,2024. 4. 14
1813,t864169232,1,46447,2023. 10. 18
1814,w537850682,7,119182,2025. 8. 23
1815,k236468841,4,194008,2025. 5. 19
1816,p015164035,8,753952,2023. 1. 10
1817,j116446252,2,177972,2025. 12. 14
1818,e048482443,3,183159,2024. 5. 11
1819,t417344874,10,295130,2025. 9. 15
1820,r112898430,8,226576,2025. 1. 29
1821,m714835104,4,148256,2024. 10. 22
1822,e953612711,7,426125,2025. 3. 31
1823,t010878562,7,354914,2022. 1. 17
1824,w659469816,5,155065,2024. 3. 16
1825,n425404210,9,207405,2022. 8. 15
1826,f012132125,1,70457,2024. 5. 30
1827,s094435191,10,543630,2023. 9. 9
1828,q011238084,10,245160,2024. 1. 20
1829,w192759168,8,518264,2025. 3. 27
1830,z712394940,2,197938,2023. 8. 15
1831,q231649573,3,114216,2025. 1. 5
1832,u225718693,1,34519,2023. 11. 26
1833,n799111736,4,380736,2022. 4. 23
1834,m825553402,1,67293,2023. 8. 1
1835,z005898421,5,19150,2022. 4. 28
1836,z897981508,6,536820,2025. 12. 19
1837,l780005764,6,555078,2024. 4. 27
1838,g189539119,2,118678,2022. 8. 9
1839,g463661069,9,108180,2025. 10. 9
1840,r796830976,8,287400,2025. 2. 3
1841,e589800789,8,403992,2022. 8. 14
1842,n906307868,6,513930,2025. 10. 21
1843,p185790646,7,191940,2024. 4. 8
1844,b331859810,1,13012,2023. 7. 18
1845,o063315813,10,809130,2024. 7. 20
1846,b422280086,2,91610,2022. 2. 27
1847,s700461734,2,96842,2024. 11. 27
1848,m658717107,9,220689,2023. 3. 22
1849,x586299955,4,171036,2025. 5. 29
1850,u968071075,4,242104,2024. 3. 21
1851,f210791264,10,613770,2023. 11. 3
1852,b932914303,5,298735,2023. 10. 4
1853,e589800789,1,50499,2024. 6. 24
1854,g662626624,7,428687,2023. 10. 17
1855,y705994130,4,194508,2024. 7. 31
1856,r402862193,5,47540,2024. 1. 4
1857,f747872770,9,212850,2022. 7. 5
1858,d251437127,1,97709,2022. 11. 6
1859,q041549541,8,272160,2025. 11. 30
1860,b422280086,8,366440,2024. 7. 14
1861,q252678473,5,456470,2022. 10. 9
1862,i573010689,9,599931,2023. 1. 19
1863,g064755704,6,545520,2023. 3. 7
1864,l097642272,6,107982,2024. 2. 9
1865,p043566823,10,782440,2022. 9. 21
1866,a085775068,7,94388,2024. 7. 26
1867,x284040516,5,255360,2024. 6. 11
1868,c513104329,5,382325,2022. 11. 24
1869,s700461734,1,48421,2024. 7. 14
1870,z993646811,3,15375,2022. 3. 3
1871,i683625751,9,838179,2023. 2. 1
1872,c384131512,7,265510,2023. 3. 24
1873,c623803825,1,55568,2025. 1. 30
1874,l549062224,3,69615,2025. 7. 19
1875,t794652785,3,245118,2024. 4. 13
1876,y705994130,4,194508,2025. 1. 9
1877,j327215247,7,376838,2025. 10. 3
1878,k514824777,4,266404,2022. 9. 15
1879,i694523289,5,128075,2024. 1. 5
1880,q518827646,8,320368,2025. 12. 6
1881,q027632715,4,24284,2023. 7. 18
1882,i099957648,9,875583,2024. 11. 11
1883,p678449343,8,226200,2023. 10. 24
1884,h655135999,7,285950,2025. 8. 14
1885,c098325091,10,703760,2024. 6. 18
1886,b179906615,9,659232,2025. 7. 1
1887,s448463891,4,6984,2022. 3. 13
1888,n589416882,1,38042,2024. 5. 14
1889,t328354165,2,47242,2023. 10. 27
1890,r102063620,1,15458,2023. 2. 4
1891,x540355611,4,276144,2025. 11. 7
1892,p150288206,6,535890,2024. 1. 6
1893,y909174483,9,604224,2024. 8. 9
1894,l780005764,5,462565,2024. 8. 5
1895,b452281180,4,107176,2023. 4. 11
1896,m518017117,8,71856,2023. 1. 10
1897,a965304395,10,349440,2023. 12. 15
1898,b825480254,10,288850,2025. 2. 19
1899,d855398075,10,214330,2023. 3. 17
1900,w222197556,10,606630,2022. 8. 17
1901,g189539119,8,474712,2024. 10. 24
1902,f720624315,3,238209,2023. 3. 24
1903,i073127672,1,29671,2024. 9. 29
1904,f162579878,2,49682,2022. 8. 18
1905,d560368596,10,472780,2025. 10. 1
1906,j605378914,7,98980,2023. 6. 20
1907,i435839218,6,510516,2025. 4. 30
1908,c779201195,2,30218,2025. 3. 6
1909,b932914303,6,358482,2024. 10. 13
1910,o592051598,4,102236,2023. 12. 8
1911,y705994130,8,389016,2022. 1. 1
1912,j808485118,8,152208,2024. 2. 11
1913,l541791141,8,29376,2023. 11. 11
1914,h535544159,6,464940,2024. 10. 18
1915,i946874061,6,228786,2024. 11. 17
1916,w274804528,9,383832,2025. 11. 8
1917,o946850362,3,110601,2023. 4. 12
1918,x506560171,8,96016,2025. 4. 25
1919,b331859810,2,26024,2024. 8. 21
1920,e906289036,10,591020,2023. 1. 26
1921,u193656311,1,76600,2025. 8. 16
1922,o559969590,5,323815,2025. 7. 25
1923,i589894385,2,55398,2022. 3. 2
1924,j130642177,6,69510,2025. 3. 22
1925,m379362885,2,154798,2022. 8. 1
1926,w262907182,5,315420,2024. 7. 18
1927,w481124696,6,191928,2022. 12. 8
1928,z710081015,4,321892,2025. 1. 8
1929,c113845248,6,289818,2023. 4. 9
1930,b422280086,6,274830,2024. 2. 2
1931,t490172698,4,106660,2023. 12. 4
1932,g079094772,9,627930,2023. 6. 12
1933,a759758544,6,97584,2022. 7. 16
1934,y066260459,8,302896,2023. 7. 6
1935,e265015481,7,614306,2022. 2. 19
1936,c359134334,9,92043,2023. 3. 9
1937,n840284375,3,268569,2022. 6. 16
1938,p793032784,8,253280,2022. 12. 29
1939,i877357376,3,95541,2024. 8. 18
1940,o063315813,9,728217,2024. 2. 24
1941,g716684403,2,131994,2025. 7. 18
1942,f742567163,10,862460,2023. 11. 3
1943,z383800680,4,287528,2025. 10. 27
1944,q003233399,2,17610,2024. 11. 28
1945,k141189589,2,14536,2024. 2. 6
1946,r719614465,5,13940,2025. 12. 27
1947,f407283150,1,95515,2024. 7. 2
1948,b013078904,6,229956,2024. 6. 13
1949,u143817434,7,203875,2024. 10. 14
1950,a963379821,6,453618,2022. 6. 10
1951,q849747168,6,306048,2022. 1. 9
1952,v167890624,7,123788,2023. 12. 12
1953,a873116347,7,439019,2025. 10. 18
1954,p615314891,10,970500,2025. 7. 12
1955,g979090134,8,360496,2024. 7. 28
1956,s521075578,2,196882,2022. 7. 7
1957,r112898430,7,198254,2023. 3. 29
1958,o163164556,10,260830,2022. 8. 29
1959,b102934138,4,74676,2023. 10. 5
1960,x589518264,2,185796,2025. 8. 4
1961,w830452571,6,415764,2022. 5. 1
1962,q717924175,2,137858,2022. 6. 15
1963,x681315578,7,302582,2024. 8. 27
1964,o940067519,7,204484,2022. 1. 9
1965,c523840355,7,231182,2025. 11. 13
1966,u629940958,8,237096,2022. 3. 4
1967,a457805264,5,79475,2024. 3. 15
1968,g463661069,5,60100,2023. 5. 14
1969,a541306673,2,130186,2025. 10. 18
1970,n295129476,10,968050,2023. 10. 24
1971,g071239732,10,85310,2022. 1. 8
1972,x881292722,9,557811,2022. 3. 2
1973,s105151860,2,178324,2025. 1. 14
1974,p948980825,4,215652,2022. 3. 24
1975,m462265102,1,26936,2023. 9. 9
1976,w100105291,5,481590,2025. 5. 12
1977,o232985552,1,50969,2023. 9. 3
1978,m949249733,5,409550,2024. 1. 27
1979,m825553402,6,403758,2025. 7. 2
1980,z169947426,6,157914,2022. 3. 10
1981,d920616753,3,190674,2024. 1. 8
1982,t269854538,5,255245,2025. 10. 12
1983,b422280086,8,366440,2023. 4. 3
1984,c187155439,8,752312,2024. 1. 3
1985,k514824777,7,466207,2023. 3. 26
1986,o940067519,7,204484,2025. 1. 8
1987,c359134334,7,71589,2023. 4. 21
1988,w095922649,9,735111,2024. 11. 19
1989,p293801721,3,36303,2022. 2. 15
1990,f996915608,1,74559,2023. 9. 28
1991,j100873496,3,236661,2022. 9. 20
1992,g716684403,10,659970,2023. 8. 19
1993,r007620803,4,325084,2024. 12. 13
1994,u472161723,1,53635,2023. 12. 26
1995,g779909494,2,66758,2025. 9. 30
1996,i946382425,3,193644,2023. 4. 23
1997,p682976673,10,93290,2024. 12. 20
1998,g716684403,3,197991,2024. 11. 30
1999,f405113731,3,201147,2024. 2. 3
2000,k359496440,5,315770,2024. 12. 8
2001,i414199211,5,367075,2023. 11. 6
2002,v400975638,4,98416,2024. 5. 2
2003,p816006650,7,152446,2022. 2. 1
2004,o360654268,6,155742,2022. 5. 7
2005,w021429903,5,223940,2024. 9. 16
2006,a016807608,1,46670,2024. 12. 7
2007,j808485118,2,38052,2023. 6. 12
2008,a391397529,10,435160,2025. 1. 10
2009,u324400054,7,519407,2024. 7. 25
2010,p720116814,1,57232,2023. 12. 14
2011,r051475704,1,91346,2025. 7. 24
2012,q109458549,6,300582,2022. 6. 28
2013,b179906615,4,292992,2024. 12. 19
2014,q782049708,9,625473,2023. 3. 3
2015,x525162938,3,201819,2025. 1. 26
2016,q794513876,5,61495,2024. 10. 28
2017,i435839218,10,850860,2023. 8. 2
2018,d247472035,3,270192,2023. 1. 27
2019,c230233780,4,172972,2025. 1. 8
2020,q109458549,3,150291,2022. 10. 5
2021,p372251949,8,116208,2022. 9. 3
2022,j193229486,5,469895,2024. 1. 20
2023,c466917414,9,226449,2024. 10. 27
2024,s717219172,5,172720,2024. 4. 18
2025,z537590345,4,228136,2023. 12. 13
2026,e835102402,2,104112,2025. 8. 19
2027,h490995803,6,434046,2022. 2. 4
2028,e378186020,1,35774,2024. 11. 13
2029,f162579878,9,223569,2023. 9. 6
2030,i614225745,2,62012,2024. 2. 19
2031,n820338472,4,243880,2022. 5. 28
2032,s436817915,4,263196,2025. 8. 9
2033,q685423306,4,376192,2023. 12. 23
2034,e038924494,4,303332,2024. 10. 7
2035,x881292722,2,123958,2022. 3. 6
2036,q768309114,9,868347,2024. 6. 29
2037,z169947426,5,131595,2023. 3. 19
2038,o422011787,5,289990,2024. 6. 30
2039,p793032784,8,253280,2022. 11. 21
2040,u143817434,9,262125,2022. 11. 14
2041,c933605111,1,4904,2025. 2. 7
2042,o871065783,10,530050,2023. 8. 31
2043,r959659809,10,46900,2025. 8. 4
2044,u193656311,8,612800,2024. 9. 21
2045,s002393601,2,186352,2025. 7. 22
2046,v867724546,2,172710,2023. 7. 17
2047,k463993856,2,133138,2025. 6. 1
2048,d583968890,10,984930,2024. 7. 31
2049,z147786765,3,246009,2025. 8. 30
2050,q616336188,6,539004,2022. 1. 29
2051,u506996459,4,32004,2025. 9. 25
2052,g323061925,6,556602,2025. 7. 18
2053,p393102669,4,98556,2023. 7. 8
2054,n923546342,4,71940,2025. 7. 4
2055,p060227933,8,333712,2023. 9. 11
2056,x506560171,8,96016,2024. 12. 29
2057,p816006650,6,130668,2025. 5. 15
2058,o327177699,10,721550,2025. 6. 16
2059,w447597772,6,503490,2024. 8. 18
2060,s105151860,3,267486,2022. 3. 12
2061,s202387396,8,434648,2023. 8. 3
2062,n635288385,2,6086,2023. 2. 11
2063,s262375458,4,289340,2025. 8. 13
2064,p539341740,7,35175,2025. 7. 6
2065,m592112116,10,228390,2023. 2. 16
2066,a650072387,8,242048,2022. 1. 20
2067,q505009001,8,196752,2025. 9. 15
2068,h284695403,2,96850,2023. 8. 22
2069,u424995237,8,229616,2023. 9. 18
2070,h084718232,2,16776,2022. 4. 13
2071,e696624316,1,91606,2024. 9. 27
2072,m838445146,9,266625,2024. 6. 1
2073,t320554606,7,43113,2025. 5. 23
2074,n780276857,8,441112,2023. 3. 28
2075,l480004974,5,202950,2023. 8. 21
2076,t642024805,3,41940,2024. 12. 7
2077,x420016273,1,59170,2023. 3. 30
2078,p866186767,8,171856,2023. 2. 9
2079,h300338334,2,97046,2023. 10. 22
2080,d915856747,8,476456,2022. 11. 26
2081,y854849557,5,443750,2024. 8. 19
2082,e921569797,7,192934,2023. 8. 12
2083,n425404210,1,23045,2023. 5. 10
2084,j564617613,5,139845,2022. 8. 22
2085,x918911157,7,357511,2024. 11. 12
2086,g652351362,1,15794,2025. 5. 17
2087,v430216535,6,362292,2024. 11. 22
2088,x586299955,4,171036,2022. 12. 16
2089,m770445858,9,440730,2025. 9. 9
2090,v649715919,1,83746,2022. 5. 12
2091,e523349801,2,148474,2024. 10. 3
2092,t068061728,10,721360,2025. 12. 7
2093,v908972165,6,95664,2023. 2. 20
2094,g949682824,3,23643,2024. 8. 13
2095,w222197556,5,303315,2023. 2. 22
2096,d866555459,4,196656,2023. 5. 10
2097,h976723591,3,8373,2024. 10. 8
2098,r007620803,6,487626,2025. 2. 13
2099,e523196259,1,91366,2024. 7. 28
2100,j676970000,9,395451,2023. 9. 8
2101,k751579205,9,22194,2025. 9. 19
2102,d291830520,9,584649,2022. 3. 26
2103,u783288972,2,103846,2024. 5. 14
2104,w274804528,2,85296,2023. 5. 4
2105,c384131512,10,379300,2023. 2. 25
2106,x293485686,2,134210,2025. 10. 21
2107,t794652785,4,326824,2022. 5. 31
2108,t864169232,5,232235,2023. 10. 23
2109,p745559425,5,144795,2024. 7. 12
2110,h048912905,6,507360,2024. 8. 24
2111,a282793275,2,162810,2023. 10. 7
2112,r224117772,9,524232,2025. 4. 8
2113,v944093936,7,666407,2024. 5. 2
2114,t426923297,7,634088,2025. 8. 13
2115,p816006650,7,152446,2023. 11. 20
2116,z453737001,5,437845,2023. 9. 8
2117,n403365755,10,904040,2023. 6. 15
2118,j554622862,9,351702,2023. 2. 18
2119,p563451205,10,401280,2022. 5. 25
2120,c000272297,1,52817,2025. 2. 24
2121,j755823036,8,283360,2024. 10. 20
2122,w100105291,3,288954,2023. 12. 23
2123,f747872770,4,94600,2025. 3. 18
2124,b086267339,10,685300,2025. 2. 1
2125,r643645905,7,567420,2022. 11. 1
2126,t756846035,1,95811,2024. 11. 27
2127,c160384786,6,489090,2025. 9. 24
2128,m124542172,5,160965,2025. 1. 5
2129,d599845976,4,168788,2024. 11. 9
2130,p627274748,1,19294,2025. 2. 4
2131,n959436310,2,50508,2022. 9. 6
2132,r170387025,8,361248,2025. 10. 29
2133,u590470738,9,341748,2025. 2. 11
2134,q555609051,4,244172,2023. 2. 7
2135,p720116814,9,515088,2023. 12. 10
2136,f742567163,6,517476,2025. 1. 6
2137,m777764975,6,228900,2023. 4. 7
2138,x835940567,10,595710,2024. 3. 19
2139,o232985552,7,356783,2025. 1. 28
2140,p924421263,5,235065,2022. 5. 11
2141,d210200375,6,90582,2024. 8. 24
2142,e882322694,10,479400,2025. 12. 13
2143,f181832254,2,191096,2022. 10. 29
2144,z731036355,8,769280,2024. 1. 31
2145,b932914303,4,238988,2022. 1. 23
2146,n221905959,10,890760,2025. 9. 6
2147,p300519469,3,59145,2023. 7. 17
2148,r719614465,2,5576,2025. 8. 6
2149,w431095687,4,200028,2022. 3. 7
2150,f391063281,7,259896,2023. 11. 1
2151,a873116347,3,188151,2025. 11. 13
2152,w771438651,5,91555,2023. 8. 7
2153,y715838497,8,679360,2023. 1. 4
2154,z005898421,4,15320,2024. 8. 17
2155,y116204227,8,545352,2022. 3. 7
2156,p290497314,7,609350,2025. 2. 23
